epoch,batch,loss,accuracy,batch_size
15,17,0.6824883222579956,0.74,50
15,18,0.3759489953517914,0.92,50
15,19,0.40178847312927246,0.94,50
15,20,0.5149615406990051,0.8,50
15,21,0.48046788573265076,0.8260869565217391,46
16,0,0.5465219616889954,0.86,50
16,1,0.6698121428489685,0.7,50
16,2,0.45488107204437256,0.8,50
16,3,0.29368358850479126,0.94,50
16,4,0.4438357651233673,0.84,50
16,5,0.4931245744228363,0.84,50
16,6,0.4887339770793915,0.92,50
16,7,0.39653491973876953,0.88,50
16,8,0.45664116740226746,0.82,50
16,9,0.288480669260025,0.96,50
16,10,0.4544315040111542,0.8,50
16,11,0.3714805245399475,0.84,50
16,12,0.3120414614677429,0.94,50
16,13,0.6799774765968323,0.74,50
16,14,0.5337904095649719,0.74,50
16,15,0.4256250858306885,0.84,50
16,16,0.6659377217292786,0.72,50
16,17,0.39547842741012573,0.88,50
16,18,0.483028382062912,0.76,50
16,19,0.6478701233863831,0.74,50
16,20,0.3848871886730194,0.82,50
16,21,0.33808255195617676,0.9130434782608695,46
17,0,0.35822242498397827,0.88,50
17,1,0.3880242109298706,0.88,50
17,2,0.6045981049537659,0.78,50
17,3,0.44712895154953003,0.86,50
17,4,0.42600709199905396,0.86,50
17,5,0.657705545425415,0.7,50
17,6,0.4361873269081116,0.82,50
17,7,0.27518540620803833,0.92,50
17,8,0.2679915428161621,0.9,50
17,9,0.39916688203811646,0.84,50
17,10,0.48349857330322266,0.88,50
17,11,0.3526785373687744,0.84,50
17,12,0.39052021503448486,0.84,50
17,13,0.3032647967338562,0.88,50
17,14,0.19250455498695374,0.98,50
17,15,0.33125922083854675,0.9,50
17,16,0.36625707149505615,0.8,50
17,17,0.23532222211360931,0.92,50
17,18,0.25359463691711426,0.96,50
17,19,0.4242842495441437,0.82,50
17,20,0.25988301634788513,0.88,50
17,21,0.2837546169757843,0.9130434782608695,46
18,0,0.5727636218070984,0.84,50
18,1,0.18500418961048126,0.96,50
18,2,0.2802976965904236,0.94,50
18,3,0.2639736533164978,0.9,50
18,4,0.21662494540214539,0.9,50
18,5,0.31239327788352966,0.92,50
18,6,0.5288310647010803,0.86,50
18,7,0.2143942266702652,0.96,50
18,8,0.3512796461582184,0.84,50
18,9,0.2704012393951416,0.94,50
18,10,0.24273887276649475,0.9,50
18,11,0.20799463987350464,0.94,50
18,12,0.5903407335281372,0.78,50
18,13,0.18613946437835693,0.96,50
18,14,0.2832016050815582,0.9,50
18,15,0.38838836550712585,0.84,50
18,16,0.2643376290798187,0.96,50
18,17,0.295894056558609,0.86,50
18,18,0.19138358533382416,0.96,50
18,19,0.47829270362854004,0.8,50
18,20,0.4178951382637024,0.82,50
18,21,0.3682975471019745,0.8695652173913043,46
19,0,0.3808314800262451,0.86,50
19,1,0.2720659375190735,0.92,50
19,2,0.32914984226226807,0.9,50
19,3,0.22103826701641083,0.92,50
19,4,0.2568192183971405,0.92,50
19,5,0.2616482973098755,0.88,50
19,6,0.3869164288043976,0.88,50
19,7,0.19647067785263062,0.98,50
19,8,0.4145258665084839,0.86,50
19,9,0.22904564440250397,0.94,50
19,10,0.2687229812145233,0.9,50
19,11,0.21541453897953033,0.96,50
19,12,0.2012108415365219,0.98,50
19,13,0.2031051516532898,0.96,50
19,14,0.46357205510139465,0.84,50
19,15,0.35202690958976746,0.88,50
19,16,0.294297456741333,0.86,50
19,17,0.20172716677188873,0.94,50
19,18,0.3146376311779022,0.94,50
19,19,0.26017725467681885,0.88,50
19,20,0.45363545417785645,0.82,50
19,21,0.3386737108230591,0.9347826086956522,46
